Site : Pointe-a-Pitre [Guadeloupe] (Guadeloupe)
latitude : 16.224417 - longitude : -61.531334
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	07:57	0.70	000	23:33	0.70	000	02:53	0.65	15:46	0.45
2021-06-02	09:30	0.65	000	--:--	--.--	---	04:57	0.60	16:52	0.50
2021-06-03	00:07	0.70	000	11:44	0.65	000	06:24	0.60	17:49	0.55
2021-06-04	00:35	0.70	000	13:18	0.65	000	07:17	0.55	18:34	0.55
2021-06-05	00:57	0.70	000	14:19	0.65	000	07:55	0.50	19:10	0.60
2021-06-06	01:16	0.70	000	15:06	0.65	000	08:29	0.45	19:41	0.60
2021-06-07	01:35	0.75	000	15:46	0.65	000	09:02	0.40	20:07	0.60
2021-06-08	01:57	0.75	000	16:23	0.65	000	09:34	0.40	20:31	0.60
2021-06-09	02:22	0.75	000	17:00	0.65	000	10:05	0.35	20:53	0.60
2021-06-10	02:50	0.75	000	17:38	0.65	000	10:37	0.35	21:17	0.60
2021-06-11	03:20	0.75	000	18:17	0.65	000	11:10	0.35	21:45	0.60
2021-06-12	03:52	0.75	000	19:00	0.65	000	11:43	0.35	22:21	0.60
2021-06-13	04:26	0.75	000	19:45	0.65	000	12:19	0.40	23:08	0.65
2021-06-14	05:02	0.75	000	20:32	0.65	000	12:58	0.40	--:--	--.--
2021-06-15	05:43	0.75	000	21:16	0.70	000	00:10	0.65	13:41	0.45
2021-06-16	06:33	0.75	000	21:54	0.70	000	01:24	0.65	14:29	0.45
2021-06-17	07:42	0.70	000	22:27	0.75	000	02:47	0.65	15:21	0.50
2021-06-18	09:22	0.65	000	22:59	0.75	000	04:20	0.60	16:17	0.55
2021-06-19	11:37	0.65	000	23:32	0.75	000	05:46	0.55	17:14	0.55
2021-06-20	13:28	0.65	000	--:--	--.--	---	06:51	0.50	18:11	0.60
2021-06-21	00:09	0.80	000	14:39	0.70	000	07:44	0.45	19:04	0.60
2021-06-22	00:50	0.80	000	15:36	0.70	000	08:32	0.35	19:53	0.65
2021-06-23	01:36	0.80	000	16:28	0.70	000	09:20	0.30	20:39	0.65
2021-06-24	02:26	0.80	000	17:19	0.70	000	10:07	0.30	21:25	0.65
2021-06-25	03:17	0.85	000	18:11	0.70	000	10:55	0.30	22:13	0.65
2021-06-26	04:09	0.80	000	19:04	0.70	000	11:42	0.30	23:07	0.65
2021-06-27	05:00	0.80	000	19:57	0.70	000	12:28	0.35	--:--	--.--
2021-06-28	05:51	0.80	000	20:47	0.70	000	00:07	0.65	13:14	0.40
2021-06-29	06:44	0.75	000	21:32	0.70	000	01:14	0.65	13:59	0.45
2021-06-30	07:44	0.70	000	22:11	0.70	000	02:30	0.60	14:44	0.50
