Site : Saint-Nazaire (Loire-Atlantique)
latitude : 47.266949 - longitude : -2.201667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-06-01	09:24	4.65	058	22:10	4.90	053	04:20	1.60	16:49	2.00
2021-06-02	12:50	4.50	049	--:--	--.--	---	05:19	1.90	17:52	2.20
2021-06-03	00:18	4.75	047	13:53	4.55	045	06:22	2.10	18:58	2.25
2021-06-04	01:30	4.75	046	14:39	4.65	047	07:28	2.15	20:01	2.20
2021-06-05	02:17	4.80	049	15:05	4.75	052	08:29	2.10	20:58	2.05
2021-06-06	02:55	4.95	054	15:24	4.95	057	09:21	1.95	21:47	1.95
2021-06-07	03:32	5.05	060	15:51	5.10	063	10:05	1.85	22:30	1.80
2021-06-08	04:09	5.20	065	16:23	5.30	068	10:44	1.75	23:08	1.70
2021-06-09	04:44	5.30	069	16:54	5.40	071	11:19	1.65	23:44	1.60
2021-06-10	05:19	5.35	072	17:26	5.45	073	11:52	1.60	--:--	--.--
2021-06-11	05:52	5.35	073	17:58	5.45	073	00:18	1.55	12:25	1.60
2021-06-12	06:24	5.30	073	18:30	5.45	072	00:53	1.55	13:00	1.60
2021-06-13	06:58	5.25	071	19:04	5.40	069	01:30	1.55	13:36	1.70
2021-06-14	07:33	5.15	067	19:44	5.30	065	02:07	1.60	14:14	1.80
2021-06-15	08:14	5.00	063	20:29	5.15	060	02:47	1.70	14:57	1.90
2021-06-16	09:04	4.85	058	21:24	5.00	055	03:31	1.85	15:45	2.00
2021-06-17	10:07	4.70	053	22:32	4.90	052	04:22	1.95	16:42	2.10
2021-06-18	11:35	4.65	051	23:51	4.85	051	05:19	2.00	17:44	2.10
2021-06-19	12:59	4.75	053	--:--	--.--	---	06:22	1.95	18:48	2.00
2021-06-20	01:09	4.95	056	14:02	4.95	059	07:26	1.80	19:51	1.75
2021-06-21	02:17	5.10	063	14:56	5.20	068	08:30	1.60	20:53	1.50
2021-06-22	03:16	5.30	073	15:44	5.45	078	09:29	1.35	21:53	1.20
2021-06-23	04:08	5.45	082	16:29	5.70	086	10:25	1.10	22:49	0.95
2021-06-24	04:56	5.60	090	17:13	5.85	092	11:18	0.90	23:44	0.75
2021-06-25	05:41	5.65	094	17:56	5.90	095	12:09	0.80	--:--	--.--
2021-06-26	06:24	5.60	094	18:39	5.85	093	00:37	0.65	12:59	0.85
2021-06-27	07:04	5.50	091	19:21	5.75	088	01:28	0.70	13:49	1.00
2021-06-28	07:43	5.30	084	20:02	5.55	080	02:18	0.85	14:39	1.25
2021-06-29	08:20	5.10	075	20:45	5.35	070	03:07	1.10	15:29	1.50
2021-06-30	09:00	4.85	065	21:32	5.10	060	03:56	1.45	16:21	1.80
