Site : Audierne Quai Pelletan (Finistère)
latitude : 48.021549 - longitude : -4.537580
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	10:31	4.15	055	22:55	4.30	051	04:33	1.55	16:57	1.80
2021-07-02	11:26	3.95	047	23:51	4.15	044	05:25	1.75	17:53	1.95
2021-07-03	12:29	3.90	043	--:--	--.--	---	06:21	1.90	18:53	2.05
2021-07-04	00:52	4.10	042	13:35	3.95	042	07:21	2.00	19:53	2.00
2021-07-05	01:55	4.10	043	14:34	4.10	046	08:21	1.95	20:51	1.95
2021-07-06	02:53	4.20	048	15:23	4.25	051	09:15	1.85	21:43	1.85
2021-07-07	03:42	4.30	054	16:05	4.45	057	10:01	1.75	22:28	1.70
2021-07-08	04:26	4.45	060	16:43	4.60	063	10:41	1.65	23:09	1.60
2021-07-09	05:06	4.55	066	17:20	4.70	068	11:20	1.55	23:48	1.45
2021-07-10	05:43	4.60	071	17:55	4.80	072	11:57	1.45	--:--	--.--
2021-07-11	06:20	4.65	074	18:31	4.85	075	00:26	1.35	12:34	1.40
2021-07-12	06:56	4.70	076	19:07	4.85	076	01:03	1.30	13:10	1.35
2021-07-13	07:33	4.65	076	19:46	4.85	076	01:40	1.25	13:48	1.35
2021-07-14	08:13	4.60	075	20:28	4.75	073	02:18	1.25	14:29	1.35
2021-07-15	08:56	4.50	071	21:14	4.65	068	02:59	1.30	15:14	1.45
2021-07-16	09:45	4.35	066	22:06	4.50	063	03:44	1.40	16:03	1.55
2021-07-17	10:43	4.25	060	23:07	4.40	058	04:35	1.55	17:00	1.65
2021-07-18	11:50	4.20	056	--:--	--.--	---	05:35	1.70	18:07	1.75
2021-07-19	00:16	4.30	055	13:03	4.25	055	06:47	1.75	19:22	1.75
2021-07-20	01:30	4.35	057	14:14	4.45	059	08:01	1.70	20:35	1.60
2021-07-21	02:42	4.45	063	15:18	4.65	067	09:10	1.55	21:41	1.40
2021-07-22	03:47	4.65	072	16:14	4.95	077	10:11	1.35	22:41	1.15
2021-07-23	04:44	4.85	081	17:06	5.15	085	11:06	1.15	23:36	0.95
2021-07-24	05:35	5.00	088	17:53	5.30	091	11:57	1.00	--:--	--.--
2021-07-25	06:22	5.05	092	18:38	5.35	093	00:26	0.80	12:44	0.95
2021-07-26	07:05	5.00	092	19:21	5.25	091	01:12	0.80	13:27	0.95
2021-07-27	07:45	4.90	089	20:01	5.10	085	01:53	0.85	14:07	1.05
2021-07-28	08:23	4.70	081	20:41	4.90	077	02:32	1.00	14:46	1.20
2021-07-29	09:00	4.50	072	21:20	4.65	066	03:10	1.20	15:25	1.45
2021-07-30	09:38	4.25	061	22:02	4.35	055	03:48	1.45	16:07	1.70
2021-07-31	10:21	4.05	050	22:50	4.10	045	04:30	1.70	16:56	1.95
