Site : Brest (Finistère)
latitude : 48.382500 - longitude : -4.494717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	10:52	5.65	055	23:17	5.80	051	04:52	2.15	17:16	2.45
2021-07-02	11:47	5.45	047	--:--	--.--	---	05:44	2.45	18:12	2.65
2021-07-03	00:14	5.55	044	12:48	5.35	043	06:41	2.65	19:13	2.75
2021-07-04	01:16	5.45	042	13:51	5.35	042	07:42	2.70	20:16	2.75
2021-07-05	02:18	5.45	043	14:50	5.50	046	08:41	2.65	21:15	2.60
2021-07-06	03:15	5.55	048	15:42	5.70	051	09:35	2.50	22:06	2.45
2021-07-07	04:05	5.75	054	16:27	5.95	057	10:23	2.35	22:51	2.25
2021-07-08	04:49	5.95	060	17:07	6.15	063	11:05	2.15	23:32	2.05
2021-07-09	05:29	6.10	066	17:45	6.30	068	11:45	2.00	--:--	--.--
2021-07-10	06:07	6.20	071	18:22	6.45	072	00:10	1.85	12:22	1.90
2021-07-11	06:45	6.30	074	18:58	6.55	075	00:48	1.75	12:59	1.80
2021-07-12	07:22	6.35	076	19:36	6.55	076	01:25	1.65	13:36	1.75
2021-07-13	08:00	6.35	076	20:14	6.55	076	02:02	1.65	14:15	1.75
2021-07-14	08:40	6.30	075	20:55	6.45	073	02:42	1.65	14:56	1.80
2021-07-15	09:22	6.15	071	21:40	6.30	068	03:23	1.75	15:39	1.90
2021-07-16	10:10	6.00	066	22:30	6.15	063	04:09	1.90	16:28	2.10
2021-07-17	11:04	5.85	060	23:27	5.95	058	04:59	2.05	17:23	2.25
2021-07-18	12:06	5.75	056	--:--	--.--	---	05:58	2.20	18:26	2.35
2021-07-19	00:33	5.85	055	13:14	5.80	055	07:04	2.30	19:36	2.30
2021-07-20	01:46	5.85	057	14:26	5.95	059	08:15	2.25	20:49	2.15
2021-07-21	03:00	6.00	063	15:35	6.25	067	09:25	2.05	21:58	1.85
2021-07-22	04:07	6.25	072	16:35	6.55	077	10:27	1.80	22:57	1.50
2021-07-23	05:05	6.50	081	17:29	6.85	085	11:24	1.55	23:51	1.20
2021-07-24	05:57	6.70	088	18:18	7.05	091	12:15	1.35	--:--	--.--
2021-07-25	06:44	6.80	092	19:04	7.15	093	00:40	1.05	13:02	1.25
2021-07-26	07:28	6.80	092	19:47	7.10	091	01:27	1.00	13:46	1.30
2021-07-27	08:09	6.65	089	20:27	6.90	085	02:10	1.15	14:28	1.40
2021-07-28	08:47	6.40	081	21:05	6.60	077	02:51	1.35	15:08	1.65
2021-07-29	09:24	6.15	072	21:43	6.25	066	03:30	1.65	15:48	1.95
2021-07-30	10:02	5.85	061	22:24	5.90	055	04:10	2.00	16:29	2.30
2021-07-31	10:45	5.55	050	23:11	5.55	045	04:51	2.40	17:15	2.65
