Site : Roscoff (Finistère)
latitude : 48.716667 - longitude : -3.966667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-07-01	11:54	7.35	055	--:--	--.--	---	05:55	2.65	18:16	3.10
2021-07-02	00:14	7.45	051	12:46	7.05	047	06:43	3.05	19:09	3.40
2021-07-03	01:10	7.15	044	13:47	6.90	043	07:39	3.35	20:10	3.55
2021-07-04	02:13	6.95	042	14:52	6.90	042	08:41	3.45	21:16	3.55
2021-07-05	03:18	7.00	043	15:53	7.10	046	09:45	3.40	22:17	3.35
2021-07-06	04:18	7.10	048	16:46	7.35	051	10:42	3.20	23:10	3.10
2021-07-07	05:10	7.35	054	17:31	7.60	057	11:31	2.95	23:57	2.80
2021-07-08	05:55	7.55	060	18:12	7.85	063	12:14	2.70	--:--	--.--
2021-07-09	06:36	7.75	066	18:49	8.05	068	00:39	2.55	12:55	2.50
2021-07-10	07:14	7.95	071	19:25	8.25	072	01:18	2.30	13:33	2.30
2021-07-11	07:51	8.05	074	20:01	8.35	075	01:56	2.15	14:10	2.20
2021-07-12	08:28	8.10	076	20:38	8.40	076	02:34	2.00	14:48	2.15
2021-07-13	09:06	8.10	076	21:17	8.40	076	03:12	1.95	15:26	2.10
2021-07-14	09:46	8.05	075	21:58	8.25	073	03:51	2.00	16:06	2.20
2021-07-15	10:27	7.90	071	22:41	8.10	068	04:31	2.10	16:48	2.35
2021-07-16	11:13	7.75	066	23:29	7.85	063	05:14	2.30	17:33	2.60
2021-07-17	12:03	7.55	060	--:--	--.--	---	06:03	2.55	18:26	2.85
2021-07-18	00:24	7.65	058	13:03	7.40	056	06:59	2.75	19:30	3.00
2021-07-19	01:29	7.45	055	14:13	7.35	055	08:06	2.90	20:42	3.00
2021-07-20	02:45	7.45	057	15:30	7.55	059	09:19	2.85	21:56	2.75
2021-07-21	04:04	7.60	063	16:41	7.85	067	10:32	2.65	23:06	2.35
2021-07-22	05:13	7.90	072	17:42	8.25	077	11:38	2.30	--:--	--.--
2021-07-23	06:13	8.25	081	18:35	8.60	085	00:08	1.95	12:36	1.95
2021-07-24	07:07	8.45	088	19:25	8.85	091	01:04	1.55	13:28	1.65
2021-07-25	07:55	8.60	092	20:10	8.95	093	01:54	1.30	14:16	1.55
2021-07-26	08:39	8.60	092	20:53	8.95	091	02:41	1.20	15:00	1.50
2021-07-27	09:20	8.50	089	21:33	8.75	085	03:23	1.30	15:40	1.65
2021-07-28	09:57	8.25	081	22:10	8.45	077	04:03	1.55	16:18	1.95
2021-07-29	10:31	7.95	072	22:46	8.05	066	04:39	1.95	16:54	2.35
2021-07-30	11:06	7.60	061	23:23	7.60	055	05:15	2.40	17:30	2.80
2021-07-31	11:45	7.25	050	--:--	--.--	---	05:50	2.90	18:09	3.30
