Site : Boucau-Bayonne (Pyrénées-Atlantiques)
latitude : 43.527218 - longitude : -1.514717
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-08-01	11:32	3.15	040	--:--	--.--	---	05:03	1.70	17:43	1.80
2021-08-02	00:02	3.20	036	12:46	3.10	034	06:07	1.80	18:58	1.85
2021-08-03	01:13	3.10	033	13:57	3.20	035	07:22	1.85	20:10	1.80
2021-08-04	02:23	3.15	037	14:56	3.30	041	08:29	1.75	21:08	1.65
2021-08-05	03:21	3.30	045	15:44	3.50	050	09:22	1.60	21:55	1.45
2021-08-06	04:09	3.45	055	16:25	3.70	060	10:05	1.45	22:36	1.30
2021-08-07	04:50	3.60	064	17:03	3.85	069	10:44	1.25	23:14	1.10
2021-08-08	05:27	3.75	073	17:39	4.00	077	11:21	1.10	23:51	0.95
2021-08-09	06:04	3.85	081	18:15	4.10	084	11:57	0.95	--:--	--.--
2021-08-10	06:40	3.95	086	18:52	4.15	088	00:27	0.80	12:34	0.90
2021-08-11	07:17	4.00	089	19:30	4.20	089	01:04	0.75	13:11	0.85
2021-08-12	07:55	3.95	088	20:10	4.10	086	01:42	0.75	13:50	0.85
2021-08-13	08:36	3.90	084	20:54	4.00	080	02:22	0.80	14:32	0.95
2021-08-14	09:22	3.75	076	21:44	3.80	071	03:05	0.95	15:19	1.10
2021-08-15	10:16	3.60	066	22:46	3.60	060	03:54	1.15	16:14	1.30
2021-08-16	11:24	3.45	055	--:--	--.--	---	04:53	1.40	17:23	1.45
2021-08-17	00:02	3.45	051	12:44	3.45	049	06:06	1.55	18:46	1.50
2021-08-18	01:26	3.40	048	14:03	3.55	050	07:29	1.55	20:09	1.40
2021-08-19	02:45	3.50	054	15:12	3.75	060	08:43	1.40	21:18	1.20
2021-08-20	03:50	3.70	066	16:09	4.00	072	09:42	1.20	22:13	0.95
2021-08-21	04:41	3.85	078	16:57	4.20	083	10:31	1.00	23:00	0.75
2021-08-22	05:25	4.00	088	17:39	4.35	091	11:15	0.85	23:42	0.65
2021-08-23	06:04	4.05	093	18:18	4.40	094	11:56	0.75	--:--	--.--
2021-08-24	06:39	4.05	095	18:54	4.35	094	00:22	0.60	12:35	0.75
2021-08-25	07:12	4.00	092	19:28	4.25	089	01:00	0.65	13:12	0.80
2021-08-26	07:44	3.90	085	20:02	4.05	081	01:35	0.80	13:48	0.95
2021-08-27	08:16	3.75	076	20:37	3.85	071	02:10	1.00	14:24	1.15
2021-08-28	08:50	3.55	065	21:14	3.60	059	02:45	1.25	15:02	1.40
2021-08-29	09:29	3.35	052	21:59	3.30	046	03:22	1.50	15:47	1.65
2021-08-30	10:22	3.20	040	23:02	3.10	034	04:07	1.70	16:46	1.85
2021-08-31	11:42	3.05	030	--:--	--.--	---	05:08	1.90	18:09	1.95
