Site : Dunkerque (Nord)
latitude : 51.048050 - longitude : 2.366667
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	08:37	4.50	027	21:18	4.50	027	02:44	1.95	15:26	2.05
2021-09-02	10:05	4.50	029	22:42	4.65	034	04:08	2.05	16:52	1.95
2021-09-03	11:19	4.80	039	23:46	5.00	046	05:32	1.85	18:08	1.65
2021-09-04	12:13	5.15	053	--:--	--.--	---	06:37	1.55	19:01	1.25
2021-09-05	00:34	5.40	060	12:55	5.45	067	07:23	1.25	19:42	0.95
2021-09-06	01:13	5.70	073	13:30	5.70	079	08:01	1.05	20:20	0.70
2021-09-07	01:47	5.90	085	14:02	5.85	090	08:38	0.85	20:58	0.55
2021-09-08	02:20	6.05	094	14:34	6.00	097	09:15	0.75	21:37	0.45
2021-09-09	02:53	6.10	100	15:07	6.05	101	09:53	0.70	22:15	0.40
2021-09-10	03:29	6.10	100	15:42	6.05	099	10:31	0.75	22:54	0.45
2021-09-11	04:06	6.05	096	16:21	6.00	092	11:08	0.80	23:32	0.60
2021-09-12	04:48	5.90	087	17:07	5.85	081	11:47	0.95	--:--	--.--
2021-09-13	05:38	5.65	073	18:02	5.60	066	00:14	0.80	12:31	1.15
2021-09-14	06:41	5.30	058	19:13	5.30	051	01:03	1.15	13:28	1.45
2021-09-15	07:56	4.95	045	20:40	5.05	042	02:13	1.45	14:51	1.65
2021-09-16	09:33	4.85	043	22:20	5.10	046	03:43	1.65	16:25	1.65
2021-09-17	11:01	5.05	052	23:33	5.45	058	05:14	1.55	17:50	1.30
2021-09-18	12:04	5.35	066	--:--	--.--	---	06:26	1.25	18:53	0.95
2021-09-19	00:29	5.75	072	12:52	5.65	079	07:18	1.00	19:41	0.65
2021-09-20	01:13	5.95	084	13:29	5.85	088	08:00	0.90	20:22	0.55
2021-09-21	01:50	6.05	091	14:01	5.95	093	08:37	0.85	20:59	0.50
2021-09-22	02:23	6.05	094	14:33	6.00	094	09:12	0.85	21:34	0.55
2021-09-23	02:57	6.05	094	15:05	6.00	092	09:45	0.85	22:06	0.60
2021-09-24	03:28	5.95	090	15:36	5.95	086	10:17	0.90	22:37	0.75
2021-09-25	03:57	5.85	082	16:06	5.85	078	10:47	1.00	23:06	0.95
2021-09-26	04:26	5.65	072	16:37	5.65	067	11:17	1.15	23:35	1.15
2021-09-27	04:58	5.45	061	17:12	5.40	054	11:47	1.35	--:--	--.--
2021-09-28	05:33	5.15	048	17:54	5.05	041	00:05	1.45	12:23	1.60
2021-09-29	06:24	4.75	035	19:03	4.65	030	00:45	1.75	13:11	1.90
2021-09-30	07:49	4.45	026	20:32	4.45	024	01:45	2.05	14:25	2.15
