Site : Fort-de-France [Martinique] (Martinique)
latitude : 14.601433 - longitude : -61.063301
Système horaire : HEURES LOCALES -04h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	22:05	0.90	000	--:--	--.--	---	06:20	0.60	--:--	--.--
2021-09-02	22:50	0.90	000	--:--	--.--	---	07:14	0.60	--:--	--.--
2021-09-03	23:38	0.90	000	--:--	--.--	---	08:00	0.60	--:--	--.--
2021-09-04	--:--	--.--	---	--:--	--.--	---	08:40	0.60	--:--	--.--
2021-09-05	00:27	0.90	000	--:--	--.--	---	09:15	0.60	--:--	--.--
2021-09-06	01:20	0.90	000	17:03	0.80	000	09:45	0.65	20:21	0.80
2021-09-07	02:18	0.90	000	17:10	0.85	000	10:10	0.65	21:37	0.75
2021-09-08	03:24	0.90	000	17:17	0.85	000	10:32	0.70	22:45	0.75
2021-09-09	04:42	0.85	000	17:25	0.90	000	10:52	0.70	23:47	0.70
2021-09-10	06:09	0.80	000	17:41	0.90	000	11:13	0.75	--:--	--.--
2021-09-11	07:37	0.80	000	18:09	0.90	000	00:46	0.65	11:34	0.75
2021-09-12	09:17	0.75	000	18:50	0.90	000	01:46	0.60	11:52	0.75
2021-09-13	19:45	0.90	000	--:--	--.--	---	02:50	0.60	--:--	--.--
2021-09-14	20:48	0.90	000	--:--	--.--	---	04:02	0.60	--:--	--.--
2021-09-15	21:52	0.90	000	--:--	--.--	---	05:20	0.55	--:--	--.--
2021-09-16	22:54	0.90	000	--:--	--.--	---	06:32	0.55	--:--	--.--
2021-09-17	15:30	0.80	000	23:56	0.90	000	07:29	0.60	17:38	0.80
2021-09-18	15:51	0.80	000	--:--	--.--	---	08:13	0.60	19:00	0.80
2021-09-19	00:59	0.90	000	16:11	0.85	000	08:49	0.60	20:13	0.75
2021-09-20	02:06	0.90	000	16:25	0.85	000	09:20	0.65	21:16	0.75
2021-09-21	03:15	0.85	000	16:34	0.85	000	09:49	0.70	22:12	0.70
2021-09-22	04:20	0.85	000	16:42	0.85	000	10:16	0.70	23:02	0.70
2021-09-23	05:22	0.85	000	16:53	0.85	000	10:41	0.75	23:52	0.65
2021-09-24	06:22	0.80	000	17:10	0.85	000	11:03	0.75	--:--	--.--
2021-09-25	07:26	0.80	000	17:31	0.85	000	00:41	0.65	11:13	0.75
2021-09-26	17:58	0.85	000	--:--	--.--	---	01:33	0.60	--:--	--.--
2021-09-27	18:33	0.85	000	--:--	--.--	---	02:27	0.60	--:--	--.--
2021-09-28	19:17	0.85	000	--:--	--.--	---	03:25	0.60	--:--	--.--
2021-09-29	20:10	0.85	000	--:--	--.--	---	04:25	0.60	--:--	--.--
2021-09-30	21:07	0.85	000	--:--	--.--	---	05:23	0.60	--:--	--.--
