Site : Saint-Malo (Ille-et-Vilaine)
latitude : 48.641167 - longitude : -2.027500
Système horaire : HEURES LEGALES (UT+1h et UT+2h)
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	01:57	8.20	027	14:50	8.25	027	08:36	5.45	21:40	5.50
2021-09-02	04:03	8.20	029	16:37	8.60	034	10:34	5.35	23:30	4.95
2021-09-03	05:23	8.80	039	17:43	9.35	046	11:56	4.70	--:--	--.--
2021-09-04	06:16	9.65	053	18:32	10.25	060	00:32	4.10	12:52	3.85
2021-09-05	07:00	10.50	067	19:15	11.05	073	01:21	3.30	13:41	3.05
2021-09-06	07:42	11.20	079	19:55	11.75	085	02:08	2.55	14:27	2.40
2021-09-07	08:21	11.80	090	20:34	12.30	094	02:53	1.95	15:11	1.85
2021-09-08	08:59	12.20	097	21:12	12.65	100	03:37	1.45	15:53	1.45
2021-09-09	09:37	12.45	101	21:50	12.75	100	04:17	1.20	16:32	1.30
2021-09-10	10:13	12.40	099	22:27	12.55	096	04:54	1.20	17:08	1.40
2021-09-11	10:48	12.10	092	23:03	12.00	087	05:29	1.50	17:43	1.85
2021-09-12	11:24	11.50	081	23:42	11.20	073	06:02	2.10	18:18	2.50
2021-09-13	12:04	10.70	066	--:--	--.--	---	06:37	2.90	18:59	3.30
2021-09-14	00:28	10.25	058	12:55	9.85	051	07:21	3.80	19:55	4.10
2021-09-15	01:34	9.35	045	14:19	9.15	042	08:27	4.55	21:23	4.50
2021-09-16	03:19	8.95	043	16:12	9.20	046	10:10	4.75	23:05	4.20
2021-09-17	05:00	9.40	052	17:34	10.00	058	11:46	4.15	--:--	--.--
2021-09-18	06:08	10.25	066	18:31	10.95	072	00:24	3.35	12:55	3.25
2021-09-19	06:58	11.10	079	19:17	11.70	084	01:24	2.50	13:50	2.50
2021-09-20	07:41	11.70	088	19:58	12.20	091	02:14	1.90	14:36	2.00
2021-09-21	08:19	12.05	093	20:35	12.45	094	02:57	1.60	15:16	1.75
2021-09-22	08:54	12.15	094	21:09	12.45	094	03:34	1.45	15:50	1.70
2021-09-23	09:25	12.10	092	21:40	12.20	090	04:05	1.55	16:19	1.85
2021-09-24	09:53	11.90	086	22:07	11.85	082	04:32	1.80	16:44	2.15
2021-09-25	10:19	11.50	078	22:32	11.25	072	04:56	2.25	17:06	2.60
2021-09-26	10:43	11.00	067	22:56	10.60	061	05:17	2.80	17:26	3.20
2021-09-27	11:06	10.35	054	23:20	9.80	048	05:37	3.50	17:47	3.85
2021-09-28	11:32	9.60	041	23:50	9.00	035	06:01	4.20	18:15	4.55
2021-09-29	12:10	8.85	030	--:--	--.--	---	06:33	4.95	19:02	5.20
2021-09-30	00:45	8.20	026	13:37	8.15	024	07:39	5.55	20:30	5.65
