Site : Toulon (Var)
latitude : 43.122684 - longitude : 5.914667
Système horaire : HEURES LOCALES +01h00 
date	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (PM)	hauteur (PM)	coef. (PM)	Heure (BM)	hauteur (BM)	Heure (BM)	hauteur (BM)
2021-09-01	03:07	0.45	000	17:29	0.55	000	09:36	0.40	--:--	--.--
2021-09-02	05:09	0.45	000	18:09	0.55	000	00:22	0.45	10:43	0.40
2021-09-03	05:58	0.50	000	18:43	0.55	000	01:12	0.45	11:45	0.40
2021-09-04	06:35	0.50	000	19:13	0.55	000	01:44	0.40	12:37	0.35
2021-09-05	07:09	0.50	000	19:43	0.60	000	02:12	0.40	13:22	0.35
2021-09-06	07:41	0.50	000	20:13	0.60	000	02:41	0.40	14:04	0.35
2021-09-07	08:15	0.55	000	20:45	0.60	000	03:12	0.35	14:46	0.35
2021-09-08	08:51	0.55	000	21:18	0.60	000	03:45	0.35	15:29	0.35
2021-09-09	09:28	0.55	000	21:52	0.60	000	04:21	0.35	16:15	0.35
2021-09-10	10:09	0.55	000	22:28	0.60	000	04:59	0.35	17:04	0.35
2021-09-11	10:54	0.55	000	23:05	0.55	000	05:40	0.35	17:59	0.40
2021-09-12	11:46	0.55	000	23:45	0.55	000	06:25	0.40	19:02	0.40
2021-09-13	12:54	0.55	000	--:--	--.--	---	07:16	0.40	20:15	0.45
2021-09-14	00:33	0.50	000	14:54	0.55	000	08:14	0.40	21:45	0.45
2021-09-15	01:54	0.45	000	16:41	0.55	000	09:22	0.40	23:27	0.40
2021-09-16	04:42	0.45	000	17:38	0.55	000	10:37	0.40	--:--	--.--
2021-09-17	05:48	0.45	000	18:21	0.60	000	00:40	0.40	11:45	0.40
2021-09-18	06:30	0.50	000	18:58	0.60	000	01:27	0.40	12:42	0.35
2021-09-19	07:06	0.50	000	19:33	0.60	000	02:05	0.35	13:31	0.35
2021-09-20	07:40	0.50	000	20:06	0.60	000	02:38	0.35	14:15	0.35
2021-09-21	08:13	0.55	000	20:38	0.60	000	03:09	0.35	14:55	0.35
2021-09-22	08:47	0.55	000	21:09	0.60	000	03:38	0.40	15:35	0.40
2021-09-23	09:21	0.55	000	21:39	0.60	000	04:04	0.40	16:13	0.40
2021-09-24	09:55	0.60	000	22:08	0.60	000	04:28	0.40	16:53	0.40
2021-09-25	10:30	0.60	000	22:36	0.55	000	04:52	0.40	17:36	0.45
2021-09-26	11:07	0.60	000	23:03	0.55	000	05:17	0.45	18:25	0.45
2021-09-27	11:49	0.60	000	23:28	0.55	000	05:50	0.45	19:24	0.50
2021-09-28	12:48	0.55	000	23:55	0.50	000	06:34	0.45	20:36	0.50
2021-09-29	15:36	0.55	000	--:--	--.--	---	07:31	0.45	--:--	--.--
2021-09-30	16:51	0.55	000	--:--	--.--	---	08:38	0.45	--:--	--.--
